method,cell_type,eval_cohort,fold,layer,seed,R,MAE,ci_lo,ci_hi,n_train,n_eval,notes
geneformer_frozen_per_cell_ridge_best_layer,CD4+ T,aida,loco_onek1k,12.0000,0.0000,0.5275,11.7569,,,190.0000,293.0000,"frozen base, best-R layer; alpha=1.0"
geneformer_frozen_per_cell_ridge_best_layer,CD4+ T,onek1k,loco_onek1k,12.0000,0.0000,0.5603,16.5173,,,190.0000,981.0000,"frozen base, best-R layer; alpha=1.0"
geneformer_frozen_per_cell_ridge_best_layer,NK,aida,loco_onek1k,5.0000,0.0000,0.1685,13.2992,,,195.0000,306.0000,"frozen base, best-R layer; alpha=0.1"
geneformer_frozen_per_cell_ridge_best_layer,NK,onek1k,loco_onek1k,3.0000,0.0000,0.3045,62.2845,,,195.0000,981.0000,"frozen base, best-R layer; alpha=0.1"
geneformer_frozen_per_cell_ridge_best_layer,B,terekhova,loco_terekhova,9.0000,0.0000,0.2278,14.8222,,,1010.0000,166.0000,"frozen base, best-R layer; alpha=0.1"
geneformer_frozen_per_cell_ridge_best_layer,CD4+ T,terekhova,loco_terekhova,5.0000,0.0000,0.6209,18.2364,,,1005.0000,166.0000,"frozen base, best-R layer; alpha=0.1"
geneformer_frozen_per_cell_ridge_best_layer,NK,terekhova,loco_terekhova,2.0000,0.0000,0.2659,14.4117,,,1010.0000,166.0000,"frozen base, best-R layer; alpha=1.0"
geneformer_pseudobulk_input_ridge_best_layer,B,aida,loco_onek1k,10.0000,0.0000,0.1539,10.9303,0.0389,0.2649,195.0000,307.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,B,onek1k,loco_onek1k,11.0000,0.0000,0.1985,43.9865,0.1420,0.2535,195.0000,981.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,CD4+ T,aida,loco_onek1k,4.0000,0.0000,0.6233,17.6094,0.5604,0.6842,190.0000,293.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,CD4+ T,onek1k,loco_onek1k,1.0000,0.0000,0.4594,10.2549,0.4046,0.5118,190.0000,981.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,NK,aida,loco_onek1k,0.0000,0.0000,0.0908,12.0214,-0.0168,0.1850,195.0000,306.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,NK,onek1k,loco_onek1k,3.0000,0.0000,0.3177,19.3663,0.2605,0.3691,195.0000,981.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,B,aida,loco_terekhova,3.0000,0.0000,0.2443,15.1517,0.1380,0.3497,1010.0000,307.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,B,terekhova,loco_terekhova,2.0000,0.0000,0.2503,15.4474,0.1239,0.3759,1010.0000,166.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,CD4+ T,aida,loco_terekhova,2.0000,0.0000,0.6306,12.2257,0.5626,0.6936,1005.0000,293.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,CD4+ T,terekhova,loco_terekhova,1.0000,0.0000,0.6876,11.3440,0.6073,0.7583,1005.0000,166.0000,"pseudobulk-input, frozen base, best-R layer"
geneformer_pseudobulk_input_ridge_best_layer,NK,aida,loco_terekhova,3.0000,0.0000,0.2758,11.1474,0.1817,0.3881,1010.0000,306.0000,"pseudobulk-input, frozen base, best-R layer"
